datetime;consommation
2025-03-27 00:00:00;132
2025-03-27 08:30:00;148
2025-03-27 09:00:00;224
2025-03-27 09:30:00;696
2025-03-27 10:00:00;416
2025-03-27 10:30:00;64
2025-03-27 11:00:00;738
2025-03-27 11:30:00;290
2025-03-27 12:00:00;84
2025-03-27 12:30:00;1126
2025-03-27 13:00:00;0
2025-03-27 13:30:00;0
2025-03-27 14:00:00;378
2025-03-27 14:30:00;0
2025-03-27 15:00:00;0
2025-03-27 15:30:00;0
2025-03-27 16:00:00;190
2025-03-27 16:30:00;314
2025-03-27 17:00:00;0
2025-03-27 17:30:00;0
2025-03-27 18:00:00;0
2025-03-27 18:30:00;20
2025-03-27 19:00:00;72
2025-03-27 19:30:00;122
2025-03-27 20:00:00;358
2025-03-27 20:30:00;376
2025-03-27 20:56:04;990
2025-03-27 21:00:00;322
2025-03-27 21:30:00;370
2025-03-27 22:00:00;344
2025-03-27 22:30:00;386
2025-03-27 23:00:00;546
2025-03-27 23:30:00;968
2025-03-28 00:00:00;110
2025-03-28 00:30:00;106
2025-03-28 01:00:00;204
2025-03-28 01:30:00;130
2025-03-28 02:00:00;90
2025-03-28 02:30:00;260
2025-03-28 03:00:00;128
2025-03-28 03:30:00;88
2025-03-28 04:00:00;142
2025-03-28 04:30:00;152
2025-03-28 05:00:00;820
2025-03-28 05:30:00;1234
2025-03-28 06:00:00;1064
2025-03-28 06:30:00;236
2025-03-28 07:00:00;114
2025-03-28 07:30:00;82
2025-03-28 08:00:00;224
2025-03-28 08:30:00;28
2025-03-28 09:00:00;26
2025-03-28 09:30:00;0
2025-03-28 10:00:00;0
2025-03-28 10:30:00;14
2025-03-28 11:00:00;214
2025-03-28 11:30:00;20
2025-03-28 12:00:00;464
2025-03-28 12:30:00;758
2025-03-28 13:00:00;132
2025-03-28 13:30:00;0
2025-03-28 14:00:00;8
2025-03-28 14:30:00;126
2025-03-28 15:00:00;6
2025-03-28 15:30:00;0
2025-03-28 16:00:00;0
2025-03-28 16:30:00;0
2025-03-28 17:00:00;0
2025-03-28 17:30:00;0
2025-03-28 18:00:00;0
2025-03-28 18:30:00;0
2025-03-28 19:00:00;170
2025-03-28 19:30:00;206
2025-03-28 20:00:00;118
2025-03-28 20:30:00;2302
2025-03-28 21:00:00;1818
2025-03-28 21:30:00;276
2025-03-28 22:00:00;346
2025-03-28 22:30:00;348
2025-03-28 23:00:00;440
2025-03-28 23:30:00;268
2025-03-29 00:00:00;236
2025-03-29 00:30:00;166
2025-03-29 01:00:00;76
2025-03-29 01:30:00;490
2025-03-29 02:00:00;1594
2025-03-29 02:30:00;1086
2025-03-29 03:00:00;944
2025-03-29 03:30:00;896
2025-03-29 04:00:00;986
2025-03-29 04:30:00;1034
2025-03-29 05:00:00;1060
2025-03-29 05:30:00;1092
2025-03-29 06:00:00;606
2025-03-29 06:30:00;152
2025-03-29 07:00:00;116
2025-03-29 07:30:00;110
2025-03-29 08:00:00;72
2025-03-29 08:30:00;184
2025-03-29 09:00:00;352
2025-03-29 09:30:00;34
2025-03-29 10:00:00;494
2025-03-29 10:30:00;110
2025-03-29 11:00:00;0
2025-03-29 11:30:00;8
2025-03-29 12:00:00;56
2025-03-29 12:30:00;412
2025-03-29 13:00:00;320
2025-03-29 13:30:00;0
2025-03-29 14:00:00;0
2025-03-29 14:30:00;202
2025-03-29 15:00:00;960
2025-03-29 15:30:00;262
2025-03-29 16:00:00;0
2025-03-29 16:30:00;0
2025-03-29 17:00:00;0
2025-03-29 17:30:00;78
2025-03-29 18:00:00;0
2025-03-29 18:30:00;132
2025-03-29 19:00:00;54
2025-03-29 19:30:00;828
2025-03-29 20:00:00;2890
2025-03-29 20:30:00;2710
2025-03-29 21:00:00;344
2025-03-29 21:30:00;306
2025-03-29 22:00:00;440
2025-03-29 22:30:00;358
2025-03-29 23:00:00;364
2025-03-29 23:30:00;400
2025-03-30 00:00:00;396
2025-03-30 00:30:00;150
2025-03-30 01:00:00;112
2025-03-30 01:30:00;118
2025-03-30 03:00:00;134
2025-03-30 03:30:00;120
2025-03-30 04:00:00;226
2025-03-30 04:30:00;140
2025-03-30 05:00:00;88
2025-03-30 05:30:00;152
2025-03-30 06:00:00;148
2025-03-30 06:30:00;100
2025-03-30 07:00:00;172
2025-03-30 07:30:00;174
2025-03-30 08:00:00;138
2025-03-30 08:30:00;94
2025-03-30 09:00:00;70
2025-03-30 09:30:00;160
2025-03-30 10:00:00;16
2025-03-30 10:30:00;54
2025-03-30 10:43:02;100
2025-03-30 11:00:00;0
2025-03-30 11:30:00;0
2025-03-30 12:00:00;0
2025-03-30 12:30:00;196
2025-03-30 13:00:00;1248
2025-03-30 13:30:00;154
2025-03-30 14:00:00;60
2025-03-30 14:30:00;528
2025-03-30 15:00:00;276
2025-03-30 15:30:00;8
2025-03-30 16:00:00;0
2025-03-30 16:30:00;280
2025-03-30 17:00:00;0
2025-03-30 17:30:00;0
2025-03-30 18:00:00;0
2025-03-30 18:30:00;0
2025-03-30 19:00:00;0
2025-03-30 19:30:00;0
2025-03-30 20:00:00;76
2025-03-30 20:30:00;130
2025-03-30 21:00:00;172
2025-03-30 21:30:00;340
2025-03-30 22:00:00;316
2025-03-30 22:30:00;388
2025-03-30 23:00:00;350
2025-03-30 23:30:00;118
2025-03-31 00:00:00;100
2025-03-31 00:30:00;990
2025-03-31 01:00:00;126
2025-03-31 01:30:00;158
2025-03-31 02:00:00;178
2025-03-31 02:30:00;180
2025-03-31 03:00:00;106
2025-03-31 03:30:00;128
2025-03-31 04:00:00;138
2025-03-31 04:30:00;90
2025-03-31 05:00:00;172
2025-03-31 05:30:00;154
2025-03-31 06:00:00;154
2025-03-31 06:30:00;158
2025-03-31 07:00:00;104
2025-03-31 07:30:00;894
2025-03-31 08:00:00;1950
2025-03-31 08:30:00;1788
2025-03-31 09:00:00;1406
2025-03-31 09:30:00;778
2025-03-31 10:00:00;20
2025-03-31 10:30:00;18
2025-03-31 11:00:00;0
2025-03-31 11:30:00;0
2025-03-31 12:00:00;0
2025-03-31 12:30:00;0
2025-03-31 13:00:00;0
2025-03-31 13:30:00;0
2025-03-31 14:00:00;0
2025-03-31 14:30:00;0
2025-03-31 15:00:00;0
2025-03-31 15:30:00;0
2025-03-31 16:00:00;0
2025-03-31 16:30:00;0
2025-03-31 17:00:00;0
2025-03-31 17:30:00;0
2025-03-31 18:00:00;0
2025-03-31 18:30:00;0
2025-03-31 19:00:00;0
2025-03-31 19:30:00;108
2025-03-31 20:00:00;260
2025-03-31 20:30:00;120
2025-03-31 21:00:00;1274
2025-03-31 21:30:00;1266
2025-03-31 22:00:00;310
2025-03-31 22:30:00;322
2025-03-31 23:00:00;440
2025-03-31 23:30:00;320
2025-04-01 00:00:00;450
2025-04-01 00:30:00;220
2025-04-01 01:00:00;104
2025-04-01 01:30:00;116
2025-04-01 02:00:00;212
2025-04-01 02:30:00;158
2025-04-01 03:00:00;160
2025-04-01 03:30:00;132
2025-04-01 04:00:00;168
2025-04-01 04:30:00;86
2025-04-01 05:00:00;118
2025-04-01 05:30:00;208
2025-04-01 06:00:00;136
2025-04-01 06:30:00;182
2025-04-01 07:00:00;96
2025-04-01 07:30:00;152
2025-04-01 08:00:00;544
2025-04-01 08:30:00;1224
2025-04-01 09:00:00;1304
2025-04-01 09:30:00;1108
2025-04-01 10:00:00;286
2025-04-01 10:30:00;18
2025-04-01 11:00:00;302
2025-04-01 11:30:00;74
2025-04-01 12:00:00;0
2025-04-01 12:30:00;12
